period,zip,income,ad,mm,bkd
1,1,7619,0,0,0
0,1,16797,0,0,0
1,1,60379,0,0,0
0,1,54509,0,0,0
1,1,8011,0,0,1
0,1,1135,0,0,0
1,1,135563,0,0,1
0,1,NA,0,0,1
1,1,19165,0,0,1
0,1,11005,0,0,1
1,1,18576,0,0,0
0,1,9463,0,0,0
1,1,16987,0,0,1
0,1,7475,0,0,0
1,1,2834,0,0,1
0,1,29952,0,0,1
1,1,50984,0,0,0
0,1,8191,0,0,0
1,1,3185,0,0,1
0,1,21200,0,0,1
1,1,10666,0,0,0
0,1,1971,0,0,0
1,1,11178,1,0,1
0,1,5939,0,0,0
1,1,7931,0,0,0
0,1,3509,0,0,0
1,1,67688,1,0,0
0,1,8010,0,0,1
1,1,2240,0,0,0
0,1,13585,0,0,0
1,1,14512,0,0,1
0,1,4162,0,0,0
1,1,621,0,0,0
0,1,5878,0,0,0
1,1,19733,0,0,1
0,1,10507,0,0,0
1,1,10111,0,0,1
0,1,19543,0,0,0
1,1,3405,0,0,0
0,1,33400,0,0,0
1,1,11094,0,0,0
0,1,22626,0,0,1
1,1,31371,0,0,1
0,1,13947,0,0,0
1,1,4632,0,0,1
0,1,35685,0,0,0
1,1,1509,0,0,1
0,1,6469,0,0,0
1,1,8637,1,0,0
0,1,9447,0,0,1
1,1,30946,0,0,0
0,1,12781,0,0,0
1,1,16759,1,0,0
0,1,10403,0,0,0
1,1,8707,0,0,1
0,1,22361,0,0,0
1,1,35093,0,0,0
0,1,1009,0,0,0
1,1,19777,0,0,0
0,1,16224,0,0,0
1,1,7290,0,0,0
0,1,28869,0,0,0
1,1,7557,1,0,1
0,1,8393,0,0,0
1,1,26290,0,0,0
0,1,62265,0,0,1
1,1,14612,0,0,0
0,1,7313,0,0,0
1,1,3396,1,0,0
0,1,8010,0,0,0
1,1,4358,0,0,0
0,1,8609,0,0,1
1,1,16546,1,0,1
0,1,4758,0,0,0
1,1,157738,0,0,1
0,1,13037,0,0,0
1,1,34535,0,0,0
0,1,1130,0,0,1
1,1,23401,0,0,0
0,1,2991,0,0,0
1,1,27982,0,0,1
0,1,16608,0,0,0
1,1,7420,0,0,0
0,1,41931,0,0,0
1,1,5532,1,0,0
0,1,6241,0,0,0
1,1,4099,0,0,1
0,1,5718,0,0,0
1,1,28702,1,0,1
0,1,17210,0,0,0
1,1,30476,0,0,1
0,2,7762,0,0,0
1,2,16706,0,0,1
0,2,14637,0,0,0
1,2,2754,0,0,0
0,2,67884,0,0,1
1,2,13116,1,0,0
0,2,24655,0,0,0
1,2,29800,0,0,0
0,2,10900,0,0,0
1,2,8445,0,0,0
0,2,28023,0,0,0
1,2,4023,0,0,1
0,2,82328,0,0,1
1,2,7813,0,0,0
0,2,59950,0,0,0
1,2,52018,1,0,1
0,2,NA,0,0,0
1,2,20218,0,0,1
0,2,4116,0,0,0
1,2,15837,1,0,0
0,2,NA,0,0,0
1,2,12660,1,0,0
0,2,7281,0,0,1
1,2,5951,1,0,0
0,2,11061,0,0,1
1,2,33399,1,0,0
0,2,7067,0,0,1
1,2,10159,1,0,1
0,2,3143,0,0,0
1,2,18797,0,0,1
0,2,NA,0,0,0
1,2,51234,0,0,0
0,2,25896,0,0,1
1,2,1768,0,0,0
0,2,NA,0,0,0
1,2,18093,1,0,0
0,2,8052,0,0,1
1,2,13597,1,0,0
0,2,4832,0,0,1
1,2,22615,0,0,0
0,2,8267,0,0,0
1,2,2388,1,0,1
0,2,7940,0,0,0
1,2,44872,0,0,0
0,2,8208,0,0,1
1,2,23858,0,0,0
0,2,NA,0,1,1
1,2,11516,1,0,1
0,2,NA,0,0,0
1,2,6751,0,0,0
0,2,24022,0,0,1
1,2,3959,1,0,0
0,2,14667,0,0,0
1,2,8584,0,0,1
0,2,1191,0,0,1
1,2,2803,0,0,0
0,2,28657,0,0,0
1,2,9470,0,0,0
0,2,NA,0,0,0
1,2,75705,0,0,1
0,2,50061,0,0,0
1,2,22570,1,0,0
0,2,16766,0,0,1
1,2,9455,0,0,0
0,2,55549,0,0,0
1,2,20814,0,0,0
0,2,3546,0,0,0
1,2,9813,0,0,0
0,2,1683,0,0,0
1,2,9432,0,0,1
0,2,858,0,0,0
1,2,42665,0,0,0
0,2,6073,0,0,0
1,2,7459,0,0,0
0,2,9680,0,0,1
1,2,21149,0,0,0
0,2,22595,0,0,0
1,2,20233,0,0,1
0,2,6468,0,0,1
1,2,2933,0,0,0
0,2,7773,0,0,0
1,2,15139,0,0,1
0,2,5034,0,0,0
1,2,10703,0,0,0
0,2,3567,0,0,0
1,2,11371,0,0,0
0,2,13043,0,0,1
1,2,9909,1,0,1
0,2,9732,0,0,1
1,2,66881,0,0,0
0,2,24581,0,0,0
1,2,34841,1,0,0
0,2,4555,0,0,1
1,2,13514,0,0,0
0,2,36386,0,0,1
1,2,10836,0,0,1
0,2,1363,0,0,0
1,2,16187,1,1,0
0,2,1706,0,0,0
1,2,5095,0,0,0
0,2,43094,0,0,0
1,2,NA,1,0,0
0,2,34159,0,0,0
1,2,15580,0,0,1
0,2,10270,0,0,1
1,2,4550,0,0,1
0,2,56389,0,0,0
1,2,11994,1,0,0
0,2,5608,0,0,0
1,2,27237,0,0,0
0,2,NA,0,0,1
1,2,76327,0,1,0
0,2,6274,0,0,0
1,2,7756,0,0,0
0,2,7562,0,0,0
1,2,7875,0,0,0
0,2,7947,0,0,0
1,2,8531,0,0,1
0,2,48482,0,0,0
1,2,5708,0,0,0
0,2,7777,0,0,0
1,2,22019,0,0,0
0,2,35309,0,0,1
1,2,5298,0,0,0
0,2,6898,0,0,0
1,2,19356,0,0,0
0,2,31726,0,0,0
1,2,8919,0,0,0
0,2,2744,0,0,1
1,2,63338,0,0,1
0,2,48156,0,0,0
1,2,5635,0,0,1
0,2,10744,0,0,0
1,2,1974,0,0,0
0,2,20269,0,0,0
1,2,57496,0,0,0
0,2,2230,0,0,0
1,2,5258,0,0,0
0,2,6039,0,0,0
1,2,5802,0,0,0
0,2,1501,0,0,1
1,2,18922,1,1,0
0,2,2478,0,0,0
1,2,11183,0,0,1
0,2,20746,0,0,0
1,2,9404,0,0,0
0,2,27977,0,0,0
1,2,11175,0,0,0
0,2,6000,0,0,0
1,2,21883,1,0,1
0,2,7430,0,0,0
1,2,67490,1,0,1
0,2,11258,0,0,1
1,2,26902,0,0,0
0,2,14077,0,0,0
1,2,566,0,0,1
0,2,2925,0,0,0
1,2,7503,0,0,0
0,2,NA,0,0,0
1,2,1101,0,0,0
0,2,29996,0,0,0
1,2,6265,0,0,0
0,2,5401,0,0,1
1,2,2420,0,0,0
0,2,2679,0,0,0
1,2,12130,0,0,0
0,2,19082,0,0,1
1,2,1407,0,0,1
0,2,4200,0,0,0
1,2,19592,0,0,0
0,2,7289,0,0,0
1,2,99957,0,0,0
0,2,39850,0,0,0
1,2,20798,1,0,0
0,2,11522,0,0,1
1,2,15161,0,0,0
0,2,5660,0,0,0
1,2,21486,0,0,0
0,2,50379,0,0,0
1,2,33879,0,0,0
0,2,5084,0,0,0
1,2,2272,1,0,1
0,2,10275,0,0,0
1,2,17819,0,0,0
0,2,NA,0,0,0
1,2,3067,0,0,1
0,2,16506,0,0,0
1,2,NA,1,0,0
0,2,37838,0,0,0
1,2,11150,0,0,0
0,2,NA,0,0,0
1,2,3642,0,0,0
0,2,6834,0,0,1
1,2,7982,0,0,1
0,2,120292,0,0,1
1,2,132410,0,0,1
0,2,9705,0,0,0
1,2,4038,0,0,0
0,2,1594,0,0,0
1,2,NA,1,0,0
0,2,3853,0,0,0
1,2,112621,0,0,1
0,2,4729,0,0,1
1,2,12813,1,0,0
0,2,NA,0,1,1
1,2,3783,0,0,0
0,2,15595,0,0,0
1,2,3790,0,0,0
0,2,16233,0,0,0
1,2,4788,1,0,1
0,2,12387,0,0,1
1,2,8521,0,0,0
0,2,NA,0,0,0
1,2,11596,0,0,0
0,2,30907,0,0,1
1,2,56449,0,0,0
0,2,2906,0,0,0
1,2,8933,1,0,0
0,2,36554,0,0,0
1,2,3763,0,0,1
0,2,915,0,0,0
1,2,4497,0,0,0
0,2,4359,0,0,0
1,2,12023,0,0,0
0,2,7657,0,0,1
1,2,14452,0,0,0
0,2,7516,0,0,0
1,2,16668,0,0,0
0,2,7952,0,0,0
1,2,37693,0,0,0
0,2,5485,0,0,1
1,2,15333,1,0,0
0,2,4733,0,0,0
1,2,14117,0,0,0
0,2,10931,0,0,0
1,2,2127,0,0,0
0,2,9926,0,0,1
1,2,NA,1,0,0
0,2,22664,0,0,1
1,2,13232,1,0,0
0,2,NA,0,0,0
1,2,36914,0,0,0
0,2,12411,0,0,0
1,2,7298,1,0,0
0,2,59228,0,0,1
1,2,5311,0,0,0
0,2,15529,0,0,0
1,2,41310,0,0,0
0,2,20939,0,0,1
1,2,NA,1,0,1
0,3,8281,0,0,0
1,3,17948,0,0,0
0,3,21027,0,0,0
1,3,12819,0,0,0
0,3,47030,0,0,1
1,3,11781,0,0,0
0,3,6247,0,0,0
1,3,21535,0,0,0
0,3,1392,0,0,1
1,3,18621,0,0,1
0,3,20683,0,0,1
1,3,10049,0,0,0
0,3,NA,0,0,0
1,3,8477,0,0,0
0,3,59274,0,0,1
1,3,5982,1,0,0
0,3,1222,0,0,0
1,3,28349,0,0,1
0,3,7622,0,0,0
1,3,7549,0,0,0
0,3,3732,0,0,0
1,3,12302,0,0,0
0,3,25370,0,0,0
1,3,6993,1,0,1
0,3,6859,0,0,0
1,3,37674,0,0,0
0,3,9824,0,0,0
1,3,10723,0,0,0
0,3,6730,0,0,0
1,3,30962,0,0,1
0,3,4656,0,0,0
1,3,NA,1,0,0
0,3,28164,0,0,1
1,3,7883,0,0,0
0,3,29393,0,0,0
1,3,NA,1,0,0
0,3,22375,0,0,0
1,3,95314,0,0,0
0,3,1768,0,0,0
1,3,3925,0,0,1
0,3,3177,0,0,0
1,3,14880,0,0,1
0,3,61373,0,0,1
1,3,67372,0,0,0
0,3,20504,0,0,0
1,3,30296,1,0,0
0,3,10886,0,0,0
1,3,20112,0,0,0
0,3,18331,0,0,1
1,3,5878,0,0,0
0,3,9384,0,0,0
1,3,10996,0,0,0
0,3,NA,0,0,1
1,3,4461,0,0,0
0,3,1519,0,0,0
1,3,27129,0,0,1
0,3,5563,0,0,0
1,3,NA,1,0,0
0,3,31095,0,0,1
1,3,5866,0,0,0
0,3,8947,0,0,1
1,3,NA,1,0,0
0,3,21341,0,0,0
1,3,21640,0,0,0
0,3,10975,0,0,0
1,3,4037,0,0,0
0,3,2817,0,0,1
1,3,10064,0,0,1
0,3,93136,0,0,1
1,3,15706,0,0,0
0,3,14831,0,0,0
1,3,17548,0,0,1
0,3,8560,0,0,0
1,3,3107,1,0,0
0,3,182743,0,0,1
1,3,8237,0,0,1
0,3,9335,0,0,0
1,3,2096,0,0,0
0,3,9819,0,0,0
1,3,9826,0,0,0
0,3,9746,0,0,1
1,3,2107,0,0,0
0,3,74963,0,0,0
1,3,NA,1,0,0
0,3,25077,0,0,1
1,3,4185,0,0,0
0,3,NA,0,0,0
1,3,9834,0,0,1
0,3,9139,0,0,0
1,3,49155,0,0,0
0,3,3686,0,0,0
1,3,7547,0,0,1
0,3,6057,0,0,0
1,3,12834,0,0,0
0,3,2610,0,0,0
1,3,6228,0,0,0
0,3,25746,0,0,0
1,3,20036,0,0,0
0,3,4751,0,0,0
1,3,22011,0,0,0
0,3,1105,0,0,0
1,3,8952,0,0,1
0,3,25671,0,0,0
1,3,6510,0,0,0
0,3,12133,0,0,0
1,3,2558,0,0,0
0,3,29375,0,0,0
1,3,1978,0,1,0
0,3,9104,0,0,1
1,3,9748,1,0,1
0,3,13373,0,0,0
1,3,5523,0,0,0
0,3,78419,0,0,1
1,3,3011,0,0,0
0,3,16224,0,0,1
1,3,665,0,0,1
0,3,12613,0,0,0
1,3,20947,0,0,0
0,3,4253,0,0,0
1,3,NA,1,0,0
0,3,17519,0,0,0
1,3,33404,0,0,0
0,3,5414,0,0,0
1,3,4767,1,0,1
0,3,2140,0,0,0
1,3,9115,0,0,1
0,3,3299,0,0,1
1,3,25040,0,0,0
0,3,13513,0,0,0
1,3,112403,0,0,1
0,3,3954,0,0,0
1,3,41019,0,0,1
0,3,7426,0,0,0
1,3,2932,0,0,0
0,3,22316,0,0,0
1,3,3001,0,0,0
0,3,4380,0,0,0
1,3,6045,1,0,1
0,3,15537,0,0,1
1,3,4634,0,0,0
0,3,36973,0,0,1
1,3,3794,0,0,1
0,3,15627,0,0,1
1,3,14519,0,0,1
0,3,4334,0,0,0
1,3,8197,0,0,0
0,3,NA,0,0,1
1,3,32843,0,0,1
0,3,59644,0,0,1
1,3,4444,0,0,0
0,3,31910,0,0,0
1,3,11668,0,0,0
0,3,1760,0,0,0
1,3,5909,0,0,1
0,3,19955,0,0,1
1,3,14548,1,0,0
0,3,1094,0,0,1
1,3,22481,0,0,1
0,3,24225,0,0,0
1,3,9280,0,0,0
0,3,6201,0,0,1
1,3,90370,0,0,0
0,3,NA,0,0,0
1,3,12408,0,0,0
0,3,4091,0,0,0
1,3,3281,0,0,0
0,3,2743,0,0,0
1,3,8251,1,0,0
0,3,49071,0,0,1
1,3,72685,0,0,0
0,3,60383,0,0,0
1,3,46021,0,0,0
0,3,9922,0,0,0
1,3,3699,0,0,0
0,3,9066,0,0,0
1,3,1127,0,0,0
0,3,9194,0,0,0
1,3,NA,1,1,0
0,3,14343,0,0,0
1,3,37646,0,0,0
0,3,20526,0,0,0
1,3,5774,0,0,0
0,3,NA,0,0,1
1,3,11634,0,0,1
0,3,4744,0,0,0
1,3,13504,0,0,0
0,3,2756,0,0,0
1,3,29848,0,0,0
0,3,NA,0,0,1
1,3,8825,0,0,0
0,3,7721,0,0,0
1,3,32093,0,0,0
0,3,4349,0,0,0
1,3,4704,0,0,1
0,3,19232,0,0,0
1,3,8013,0,0,0
0,3,31735,0,0,0
1,3,10316,1,0,1
0,3,41562,0,0,1
1,3,20653,0,0,0
0,3,1333,0,0,0
1,3,3310,0,0,0
0,3,45382,0,0,0
1,3,25107,0,0,1
0,3,4784,0,0,0
1,3,3276,1,0,0
0,3,35375,0,0,0
1,3,5588,0,0,0
0,3,76253,0,0,1
1,3,73986,0,0,0
0,3,2938,0,0,1
1,3,5402,0,0,0
0,3,3603,0,0,0
1,3,24523,0,0,0
0,3,3461,0,0,0
1,3,1644,0,0,1
0,3,NA,0,0,1
1,3,34409,1,1,1
0,3,28487,0,0,0
1,3,6478,0,0,0
0,3,NA,0,0,1
1,3,23383,0,0,1
0,3,3494,0,0,0
1,3,11113,0,0,0
0,3,15000,0,0,0
1,3,68382,0,0,0
0,3,23914,0,0,1
1,3,45357,0,0,0
0,3,14482,0,0,0
1,3,4136,1,0,0
0,3,8959,0,0,0
1,3,2381,0,0,0
0,3,31855,0,0,0
1,3,NA,1,0,0
0,3,11818,0,0,1
1,3,4718,0,0,0
0,3,37318,0,0,1
1,3,14464,0,0,0
0,3,8551,0,0,0
1,3,NA,1,0,0
0,3,5886,0,0,0
1,3,39698,0,0,0
0,3,5419,0,0,0
1,3,18611,0,0,0
0,3,30683,0,0,0
1,3,3310,0,0,0
0,3,18736,0,0,0
1,3,11254,0,0,1
0,3,24732,0,0,0
1,3,5719,0,0,0
0,4,11798,0,0,1
1,4,51274,0,0,1
0,4,15232,0,0,0
1,4,29315,1,0,0
0,4,10319,0,0,1
1,4,4598,1,0,0
0,4,12730,0,0,0
1,4,3781,0,0,0
0,4,960,0,0,0
1,4,41431,0,0,1
0,4,4341,0,0,1
1,4,2073,1,0,0
0,4,34820,0,0,0
1,4,12718,0,0,1
0,4,7066,0,0,0
1,4,10772,1,0,0
0,4,8406,0,0,1
1,4,34868,0,0,0
0,4,26644,0,0,0
1,4,2289,0,0,0
0,4,18326,0,0,0
1,4,26621,0,0,0
0,4,NA,0,0,0
1,4,1139,0,0,0
0,4,10171,0,1,0
1,4,93180,0,0,1
0,4,NA,0,0,0
1,4,2329,0,0,0
0,4,2438,0,0,0
1,4,21031,0,0,0
0,4,10814,0,0,1
1,4,33656,0,0,0
0,4,17266,0,0,1
1,4,13956,0,0,1
0,4,15465,0,0,0
1,4,15198,1,0,0
0,4,3616,0,0,0
1,4,134882,0,0,0
0,4,3136,0,0,0
1,4,NA,1,0,1
0,4,7468,0,0,1
1,4,NA,1,0,0
0,4,35387,0,0,0
1,4,7324,0,0,0
0,4,15805,0,0,1
1,4,41280,0,0,1
0,4,120449,0,0,0
1,4,17412,0,0,0
0,4,4538,0,0,0
1,4,4813,0,0,1
0,4,95643,0,0,1
1,4,1623,1,0,0
0,4,273321,0,0,1
1,4,9910,0,0,0
0,4,8170,0,0,0
1,4,15066,0,0,0
0,4,32730,0,0,1
1,4,17422,0,0,0
0,4,1820,0,0,0
1,4,NA,1,0,0
0,4,20193,0,0,0
1,4,24890,0,0,1
0,4,4588,0,0,0
1,4,1202,0,0,1
0,4,9303,0,0,0
1,4,5006,0,0,0
0,4,5984,0,0,1
1,4,4959,0,0,0
0,4,8644,0,0,0
1,4,9428,0,0,0
0,4,28531,0,0,0
1,4,34513,0,0,1
0,4,5815,0,0,0
1,4,9451,0,0,0
0,4,18474,0,0,0
1,4,NA,1,0,1
0,4,12168,0,0,0
1,4,2354,0,0,0
0,4,16228,0,0,1
1,4,11425,0,0,0
0,4,75747,0,0,1
1,4,18144,0,0,0
0,4,6902,0,0,0
1,4,8293,0,0,0
0,4,7765,0,0,0
1,4,15502,0,0,0
0,4,NA,0,0,0
1,4,32161,0,0,0
0,4,17727,0,0,0
1,4,8919,0,0,0
0,4,5024,0,0,0
1,4,24279,1,0,1
0,4,12090,0,0,0
1,4,15452,0,0,0
0,4,38805,0,0,0
1,4,74213,0,0,1
0,4,NA,0,0,0
1,4,66619,0,0,0
0,4,5410,0,0,1
1,4,16798,0,0,0
0,4,16075,0,0,0
1,4,9757,0,0,0
0,4,NA,0,0,0
1,4,6659,0,0,0
0,4,24914,0,0,1
1,4,NA,1,0,0
0,4,5070,0,0,0
1,4,43362,0,0,0
0,4,1595,0,0,1
1,4,7605,0,0,0
0,4,NA,0,0,0
1,4,15631,0,0,1
0,4,16766,0,0,1
1,4,NA,1,0,0
0,4,NA,0,0,0
1,4,4581,0,1,1
0,4,24881,0,0,1
1,4,16326,0,0,0
0,4,26316,0,0,0
1,4,5035,1,0,0
0,4,14158,0,1,0
1,4,8102,0,0,0
0,4,2962,0,0,1
1,4,14993,0,0,1
0,4,75843,0,0,1
1,4,NA,1,0,1
0,4,10539,0,0,1
1,4,25640,0,0,1
0,4,13344,0,0,0
1,4,89877,0,0,0
0,4,26900,0,0,0
1,4,131136,0,0,0
0,4,18244,0,0,1
1,4,4141,0,0,0
0,4,19614,0,0,0
1,4,5106,0,0,0
0,4,4701,0,0,0
1,4,10649,0,0,0
0,4,32747,0,0,0
1,4,18153,0,0,0
0,4,NA,0,0,1
1,4,NA,1,0,1
0,4,10838,0,0,1
1,4,NA,1,0,1
0,4,28526,0,0,0
1,4,NA,1,0,0
0,4,13644,0,0,0
1,4,NA,1,0,1
0,4,NA,0,0,0
1,4,5055,1,0,1
0,4,12345,0,0,0
1,4,25305,0,0,1
0,4,30610,0,0,0
1,4,16282,1,0,0
0,4,5058,0,0,1
1,4,NA,1,0,0
0,4,NA,0,0,1
1,4,NA,1,0,1
0,4,7856,0,0,1
1,4,NA,1,0,0
0,4,42461,0,1,1
1,4,11456,0,0,0
0,4,21753,0,0,0
1,4,NA,1,0,0
0,4,NA,0,0,0
1,4,15232,0,0,0
0,4,33772,0,0,0
1,4,19369,0,0,1
0,4,8073,0,0,0
1,4,1370,0,0,0
0,4,5812,0,0,0
1,4,12616,0,0,0
0,4,1041,0,0,0
1,4,NA,1,0,0
0,4,2904,0,0,0
1,4,4032,0,0,1
0,4,55293,0,0,1
1,4,1441,0,0,0
0,4,26950,0,0,0
1,4,9124,0,0,0
0,4,20303,0,0,0
1,4,30970,0,0,1
0,4,4935,0,0,0
1,4,6354,0,0,0
0,4,643,0,0,0
1,4,4923,0,0,1
0,4,18823,0,0,1
1,4,21327,0,0,0
0,4,97706,0,0,1
1,4,13729,0,0,1
0,4,20462,0,0,1
1,4,13869,0,0,0
0,4,NA,0,0,0
1,4,27216,0,0,0
0,4,20474,0,0,0
1,4,14648,0,0,0
0,4,5694,0,0,0
1,4,12364,0,0,0
0,4,28116,0,0,0
1,4,25314,0,0,1
0,4,7943,0,0,0
1,4,6592,1,0,0
0,4,21493,0,0,0
1,4,36738,0,0,1
0,4,14526,0,0,0
1,4,9408,0,0,0
0,4,5335,0,0,0
1,4,8462,1,0,1
0,4,2922,0,0,1
1,4,NA,1,0,0
0,4,40040,0,0,0
1,4,39128,0,0,0
0,4,5388,0,0,0
1,4,15889,0,0,0
0,4,13795,0,0,0
1,4,2441,0,0,0
0,4,28955,0,0,1
1,4,1901,0,0,0
0,4,3699,0,0,0
1,4,34920,0,0,1
0,4,7493,0,0,0
1,4,10366,0,0,1
0,4,2542,0,0,1
1,4,3016,0,0,0
0,4,18280,0,0,1
1,4,NA,1,0,0
0,4,NA,0,0,1
1,4,3390,0,0,0
0,4,4296,0,0,0
1,4,98594,0,0,1
0,4,9285,0,0,0
1,4,27908,1,0,1
0,4,28217,0,0,1
1,4,27609,0,0,1
0,4,17283,0,0,1
1,4,3679,0,0,0
0,4,4690,0,0,1
1,4,27284,0,0,0
0,4,3478,0,0,0
1,4,21812,0,0,0
0,4,7549,0,0,0
1,4,8641,0,0,0
0,4,5844,0,0,0
1,4,10224,0,0,0
0,4,30941,0,0,1
1,4,20260,0,0,0
0,4,10201,0,0,0
1,4,30720,0,0,0
0,4,67418,0,0,0
1,4,12788,0,0,0
0,5,24697,0,0,0
1,5,20377,0,0,0
0,5,5802,0,0,1
1,5,6108,0,0,1
0,5,NA,0,0,1
1,5,NA,1,0,0
0,5,32404,0,0,0
1,5,17881,0,0,1
0,5,25068,0,0,1
1,5,17958,0,0,1
0,5,16090,0,0,1
1,5,19290,0,0,0
0,5,5617,0,0,0
1,5,170274,0,0,1
0,5,34403,0,0,0
1,5,12001,0,1,0
0,5,51887,0,0,1
1,5,8239,0,0,0
0,5,NA,0,0,0
1,5,10400,0,0,1
0,5,NA,0,0,0
1,5,60359,0,0,0
0,5,47867,0,0,1
1,5,7113,0,0,0
0,5,3765,0,0,1
1,5,2464,0,0,1
0,5,11789,0,0,0
1,5,2465,0,0,1
0,5,6833,0,0,1
1,5,18170,0,0,0
0,5,36296,0,0,1
1,5,6795,0,0,0
0,5,13634,0,0,1
1,5,19908,0,0,0
0,5,86066,0,0,0
1,5,5916,1,0,1
0,5,3101,0,0,0
1,5,2437,0,0,0
0,5,26895,0,0,0
1,5,14528,1,0,1
0,5,33391,0,0,0
1,5,13401,1,0,1
0,5,22858,0,0,0
1,5,19306,0,0,0
0,5,15796,0,0,0
1,5,8275,0,0,0
0,5,54500,0,0,0
1,5,10282,0,0,0
0,5,30053,0,0,0
1,5,18189,0,0,1
0,5,NA,0,0,0
1,5,31419,0,0,1
0,5,11007,0,0,0
1,5,15288,0,0,0
0,5,13611,0,0,0
1,5,1907,1,0,0
0,5,84232,0,0,1
1,5,44704,0,0,1
0,5,7168,0,0,0
1,5,NA,1,0,0
0,5,19650,0,0,0
1,5,4970,0,0,1
0,5,68449,0,0,0
1,5,12036,1,0,1
0,5,18537,0,0,0
1,5,23128,0,1,0
0,5,5709,0,0,1
1,5,5211,1,0,1
0,5,14697,0,0,1
1,5,27447,0,0,0
0,5,16610,0,0,0
1,5,NA,1,0,1
0,5,21567,0,0,0
1,5,26618,0,0,0
