age,open,extra,neuro,gender,state,bkg_amt
18,5.1687739704877975,4.471342659998389,5.8347524313600525,F,A,195.67644705391115
19,4.364425977594845,NA,NA,F,NA,281.6250995530517
21,3.2345031314871426,NA,5.017173777263358,F,A,231.40170110739646
20,4.15973630617001,NA,NA,F,C,203.06430816094667
43,5.423544646311515,NA,NA,M,C,268.85379755354415
31,5.357485136769495,6.109657014987231,5.405413375171595,M,NA,209.3598905599834
24,5.319822119763368,1.5754678486526008,NA,M,C,187.7401535587025
45,9.680445560738747,NA,5.307624442983354,F,NA,245.421493037042
41,0.8327122197354209,4.600603716737105,5.366601533368999,F,C,316.49779440324886
26,1.6825067383455403,2.2925317311667,NA,F,A,156.84751698413868
46,6.173028405724336,2.3225887123767386,NA,M,NA,231.09344291751353
22,4.9832356826616575,NA,NA,F,NA,252.2842476615965
45,5.526816024191795,0,NA,F,NA,195.6280389171393
35,3.2760487701436274,5.796915684015682,NA,M,NA,171.84746448511274
33,1.3470767998662514,6.707591595510441,6.7565755157677,F,A,104.95941084572438
40,5.315369385187367,NA,5.413642920855942,F,NA,275.2204640390128
25,5.915656180987002,4.428454253259619,8.046740883554996,F,NA,151.31210603161205
16,1.377044580025777,6.38354211798165,NA,M,C,327.8494503221545
50,7.339848302589349,6.616917594707111,7.015875345958257,M,NA,NA
24,7.726073108505748,NA,5.161669522908731,M,A,222.40795902197812
27,4.502114452045377,NA,6.54968697841327,M,NA,214.39324052632125
31,7.198728924240127,NA,6.388517356432999,M,NA,188.71776521821275
25,4.784897014872311,5.010182883099814,NA,M,A,237.72675332739078
34,5.178867848065504,NA,6.262895484844643,F,NA,271.5467773941342
27,6.2126546392298145,5.133042055812333,6.2750785159334175,F,NA,231.4645667324305
24,4.839049071217497,4.513661201908428,NA,M,NA,143.42564695246065
45,6.621784257887509,3.9979253556266947,6.994723739692379,F,B,118.83568853836664
25,3.9586293865196502,3.426184255848471,NA,M,A,311.36354303923275
47,2.376546345867998,NA,6.466427191573027,F,NA,168.18688098729464
49,5.278537934128241,9.541363742243664,7.422223493207557,F,B,NA
24,9.10056265546733,4.3927052540681535,NA,F,C,220.79526717353923
22,5.816060289620658,6.609614051060078,NA,M,A,165.11264035080438
21,5.410006701275501,NA,7.526597809545807,M,NA,318.0178593309906
30,0.49426256200143026,4.923705369125311,NA,M,C,207.5043856353149
47,3.8691925136643897,6.620840131709679,NA,F,NA,274.63982304420006
23,6.900427111724161,NA,5.613174603407395,M,C,59.27097056234148
27,4.254390383620056,NA,5.899347154406283,F,A,95.6199987144241
24,4.7015747142010005,4.33492362417037,5.589363040359387,M,NA,222.05594178560222
26,4.815564612879778,1.6431142874926774,5.484258828487174,F,B,241.1750990023135
18,3.8510067599426216,NA,9.094916998126546,F,B,212.84935287473328
36,1.0775467190171706,NA,5.311664323395425,F,C,183.25004683957917
16,6.942650750529779,7.772280824300545,NA,M,NA,284.17194165274117
42,3.5736017694976434,NA,NA,F,C,378.5249442489283
31,1.9736410921019178,5.42602680121054,NA,F,A,355.3963107348761
26,3.62575212436255,NA,NA,F,NA,222.40235085273272
25,5.0236790816945325,3.145561879201152,NA,F,NA,372.5488567485655
20,4.767130042976605,NA,NA,M,NA,175.5781854154857
22,4.915544996932137,4.693993245241245,NA,F,A,229.82837525899566
50,6.524591680895952,NA,7.210238591292713,F,NA,NA
44,3.5478098118712813,4.63763347963881,6.492676649914049,M,NA,36.62611768463219
29,4.864405505974287,3.0329760368486025,NA,F,NA,154.87969686438768
26,2.477841594935627,NA,7.165591460006417,M,NA,185.8520454954052
22,5.413784080221574,NA,7.45152685466234,F,B,194.8396975809745
28,7.728821299341501,7.375550420716225,5.051436488536973,F,B,231.0052030447182
41,7.281915741632873,8.509330570452573,5.83314974309409,F,A,370.9500891097053
29,6.757559231469411,NA,5.507647935387128,M,C,278.45745422494247
23,6.619605828737258,NA,5.8492983592994365,F,A,256.82018386860705
19,6.804675800219338,7.507955514299736,NA,F,A,297.38049803486365
46,7.768760749925636,2.924786446612538,NA,F,NA,180.15898991125226
27,2.701042359514946,NA,7.8643643980633415,M,C,142.46896043130636
45,10,NA,NA,F,NA,17.627009054963818
25,5.616745053606591,6.148396314164154,5.562654003376186,F,NA,151.9933834057679
27,10,7.744262455535185,5.40915767592163,F,A,179.0034667559093
25,9.31750407266331,2.085680636332689,5.631646753859819,F,B,238.64213443568667
36,7.051095640872803,NA,NA,F,C,184.0567507966881
32,3.574727841948995,NA,NA,M,NA,310.39304716298943
24,6.095104496008234,NA,NA,F,NA,154.3565765188302
24,4.817591779556679,NA,NA,F,A,345.08349332618945
47,4.83055948088923,10,NA,M,NA,240.55016981462228
26,10,NA,7.48170144512237,M,B,243.3076883673192
22,5.773480220103789,NA,NA,M,A,204.8476155692689
25,5.071505942301836,NA,NA,F,B,195.51824800296464
22,5.190646848436586,1.9829699502455522,NA,F,A,193.60306870341617
20,1.247453046920882,3.474021976495043,5.2451332440308835,F,C,193.87902888342492
29,3.326639899610435,NA,NA,F,NA,298.21138891598576
28,1.818036997056482,NA,NA,M,A,371.81197312260906
22,6.359218400203576,8.222519422869642,7.9268776190517976,F,A,454.57332926140975
31,5.078806605151087,NA,6.11346858438066,M,A,132.10518111190981
24,2.7377884355789655,7.873727026424142,7.452828744148421,F,NA,216.20071263306036
42,8.084925663462842,3.6564682284031926,5.381190128022232,M,NA,211.77158092815463
20,6.958765858030082,2.7977890111197565,5.105311882990286,F,NA,190.01505587263725
44,5.959326656594334,NA,NA,M,C,274.17547313829175
24,6.280066239719901,NA,NA,M,C,265.4473263385586
25,2.7336913885713923,2.981708488720677,6.160153995165606,F,B,189.67053053385587
43,4.258230441912936,6.794819743483013,10,M,B,257.77039586479225
56,5.892365738043666,6.439168310785605,5.151221635457492,F,B,NA
27,2.8037137948808595,NA,NA,F,A,247.26328230990305
30,10,NA,5.194838957645052,F,B,175.1102155926497
43,7.650912135351758,5.217496954579496,NA,F,B,160.3992649363259
52,7.25180411582849,5.603551625818348,NA,F,NA,NA
40,5.108127899301581,NA,7.942621146739898,M,B,242.98814676187132
39,2.165464485104375,NA,NA,F,C,159.2940556386694
47,7.231568331146403,6.109592925826498,NA,M,B,443.4471437124346
20,7.853756564547612,7.1488971920646875,5.830631853396931,M,NA,136.7391088875946
26,5.6355942050211345,NA,6.4581358299918605,M,NA,325.3394095932668
23,4.007453177912737,5.375203818382912,NA,F,C,291.6122816545635
16,6.199393809300668,10,NA,F,B,390.1637131768332
30,5.946851026553488,5.383958365753918,5.900361455310456,M,C,311.00313189148
21,3.421345174114734,NA,NA,F,B,235.68100209891898
45,3.7801894214821052,NA,5.0588224465727185,M,C,222.75505665861837
42,5.439328273757066,NA,NA,M,NA,210.98828243336584
33,6.984894882408694,NA,6.052242002246468,M,NA,134.89576069612082
26,9.520844349447778,6.290667400907099,NA,F,B,137.74634236023292
38,2.7702867276098773,7.208499790018351,NA,M,NA,355.6358747370534
31,3.8553605519393424,1.4066407700916703,5.399157360063269,M,A,203.62230639949556
40,7.705401733612847,4.467389555914848,NA,F,B,158.2021359409077
17,5.215737459124745,3.7395705610244954,NA,F,C,231.1725966058003
42,6.266864507300057,3.5957974157901433,9.806361500817964,F,A,232.6388669887158
42,3.24030134398435,3.2920398755516316,5.545909685757214,F,A,400.5820850683424
18,4.334227245287896,5.533136584524559,5.196637156612754,F,B,241.50414886908152
48,5.649985149986922,NA,NA,F,NA,262.21685667054686
25,3.1231691682700053,NA,NA,F,NA,182.0390425908087
25,7.426303071898836,6.481940246242972,5.028395604474087,F,A,244.70907891981525
23,2.462360661215491,6.024977513593756,NA,F,A,183.3454099383243
40,6.680311648330023,NA,6.938919474716821,M,C,256.1113246352742
48,5.330267174958276,1.837493497400657,5.24518187059653,M,B,149.06702316264855
33,2.3700746375729946,NA,NA,M,B,238.82158401126438
50,8.412077547774977,7.914880244307995,7.438712999202698,M,C,NA
29,5.355007366976205,NA,6.435262251578824,F,C,239.14120030001862
23,4.213244936458573,NA,NA,M,C,331.396861443668
20,6.156612072062317,4.298202819933174,5.7325145908230795,F,B,205.01491815033785
27,4.616476181433485,NA,6.104974259011777,F,C,367.9413551960137
42,4.435551451762199,NA,5.6077007799874945,F,C,243.7039535188477
29,3.6328768510443084,NA,NA,M,C,217.4619893865394
47,6.1603893590600425,NA,NA,F,B,209.03866770059668
53,2.860128848350238,NA,5.850045860768628,F,NA,NA
48,5.294239351524444,2.695287800587762,9.012661949533157,F,B,249.36791057928644
26,4.6464714013638595,5.977489496430692,NA,F,NA,186.82772086204923
32,4.316450620740629,8.111978415441511,5.491545584285098,F,C,363.8162227345717
31,6.355058497542416,3.8430078167840014,NA,M,B,279.08917696463476
17,5.84167046848442,9.438554642226716,NA,F,A,271.4181844518161
30,4.496362576160406,4.08712575946248,6.910542263750671,M,A,205.5072944314961
23,6.050377826155669,2.728430315358593,NA,F,B,268.4285517140998
22,1.6945008090001807,7.253535884447256,5.88194508567593,F,NA,232.31655061038913
51,3.0746592080217434,NA,NA,F,NA,NA
23,5.170049348465411,NA,9.753519144325029,F,B,238.45778256995143
28,8.038091304557621,NA,5.840264853266141,M,NA,238.98173421008428
40,2.6776640526331517,2.9237403308394905,7.1345888986481025,M,C,254.3555898369315
26,1.7801241303287343,NA,NA,F,NA,205.0248780923473
46,5.172589204248973,NA,7.275171984247594,M,C,100.44995628886252
24,5.021564773650067,NA,NA,F,NA,230.32643675226979
39,2.162607572216346,1.7872626630739705,6.349625199335419,M,C,225.7338840777216
20,5.000029683765612,2.1931956031429927,NA,F,C,232.9624619627313
26,4.441339217816573,3.2938068296989678,5.954607175738819,F,B,230.61292082970962
40,5.346968592255458,NA,NA,F,B,260.1825247540202
30,2.858725120764801,6.856470859186104,5.621355959342087,M,C,284.4091853148637
27,3.833578906910764,5.7039307757703375,6.08510779445405,F,B,199.22239569999135
19,3.643861566827244,5.072670303240091,NA,F,A,345.46930095345624
21,7.291976674510852,NA,5.948127508226123,M,C,60.853518521521764
21,3.971265797306641,4.988701061512415,7.420533301454428,M,C,271.367966393883
18,4.25989680553009,6.742651032507259,5.908330001795349,F,NA,147.0155244543412
38,1.3231551483975768,6.146172830716705,5.591001366151239,M,NA,210.79837448348064
31,5.086835169573153,4.336497129197833,NA,M,B,283.4304432284358
49,3.752728368224116,0,NA,F,NA,NA
29,6.766932547724178,8.337727414188446,6.172037265266428,M,A,303.3129272396511
42,6.989662125479468,NA,5.048081539861955,M,C,164.53217444038322
55,4.237125340282488,4.3223332150250915,5.095977446850402,M,NA,NA
29,2.0047989939294832,NA,9.348421479097977,M,C,268.83868678924773
50,4.290486953170096,NA,7.032450816880745,M,NA,NA
39,4.993606191397926,4.305002061822671,5.402789535610978,F,C,289.101109039241
43,3.135152214754598,4.715062894106985,5.217845169371177,F,NA,169.20846952938436
21,3.661177721383238,3.0250724185848785,6.9485328724734785,M,A,153.6297570024877
47,5.934631390446555,NA,NA,M,C,98.81215642227676
36,7.887154273156215,10,5.939834193819924,F,NA,266.2929041143468
35,2.4641597515472777,NA,NA,M,A,284.8307348566634
48,3.8943919542975793,7.612205097684655,NA,F,NA,261.80762579923936
37,0.4952699159708347,2.995977490743787,NA,M,C,172.57566241311454
43,6.578290417416283,6.777020017810186,7.081850670293258,F,B,261.0014618907867
47,6.261607486259074,NA,7.623870154749955,F,NA,93.86858524805493
45,6.830922806290679,NA,7.076814752465015,M,C,265.1956477178021
37,5.043555198394745,6.043908928165069,NA,M,C,180.6843488128507
29,3.922615244735005,7.348747559983041,5.049479880265793,F,B,168.36432683339157
43,0.9342367891739176,4.351409713780476,6.271877698467014,F,C,216.4760411003189
31,6.270819364186189,NA,6.175169297258199,F,A,110.9442597638582
38,7.43589252281361,NA,NA,M,NA,209.75997056029573
28,6.275932370531881,4.950288554581825,7.35547731663322,M,B,148.4404265503322
27,3.730203972448342,NA,5.390148593483101,M,B,245.93311749471755
26,3.4729552819047975,NA,9.082779444870052,F,A,155.20865687105555
40,4.796018560110763,3.101546623249004,5.5467965370602,F,A,173.76953048232448
20,4.869208984932728,5.40282939047901,7.875230239806257,M,NA,230.6361857441926
22,5.8429904266253105,4.457997717534775,5.521082206009349,M,C,293.57127908486416
20,7.487381669005373,6.135586535718652,5.4781421322350115,F,C,314.71118279755973
47,7.228251129457718,7.014694845640506,5.181576899383918,M,C,349.30284043720565
26,5.7040152813876235,NA,9.532742623203958,F,A,143.52022190339923
55,2.8116460693979226,10,5.1209967541232375,F,NA,NA
50,3.2957555948996324,1.9913495302875037,6.711577947588291,M,C,NA
52,2.6467065857972414,NA,NA,M,NA,NA
28,7.103030496739829,3.9421589061666324,6.006286222823504,M,NA,219.65376515072822
44,1.716598621273238,NA,NA,M,C,281.4759199891007
30,3.0013558887710854,NA,6.845491699840531,F,B,199.42244119459974
22,5.394362104967344,6.177522495480354,NA,F,C,386.3339636361636
29,6.717145494323286,7.787331796583597,5.428188226360099,F,NA,204.05066591175864
27,5.758537629278769,1.810726683035691,NA,F,NA,251.92556318250982
26,6.382545242485754,NA,NA,M,A,141.4370013538756
20,4.3342666410796955,NA,5.339669617257302,F,A,183.93060695537133
47,3.595066290737006,NA,NA,M,A,275.1844193326895
25,1.5634562227095157,7.4759080719443585,5.955384231309887,M,C,219.41914656780426
23,4.893281166535406,NA,NA,F,B,266.58346464112793
30,7.660660037781735,3.8409981023230615,NA,F,NA,174.94926434673164
40,5.368866448388412,4.800819487709871,8.2103218574657,M,C,263.49377221101525
29,7.808747101404549,7.665595804429335,NA,M,B,187.90052905381629
12,5.8797193439775866,2.734147863138216,NA,F,A,339.9445041790026
46,5.431359939384572,6.184908274321571,NA,F,B,161.92426444108867
30,3.3208721191530497,NA,9.155971716193363,F,NA,117.65267265199437
21,5.346076401329938,NA,NA,M,NA,223.36784770003862
47,3.029393855961488,5.891183120236897,6.2651419946983555,M,NA,317.92194920424424
26,7.209760085304126,3.552972367301127,NA,M,B,190.75279871259545
31,2.986178269680974,5.461250458328492,5.300472451262261,M,B,228.1902871625587
45,3.788469471813235,NA,5.928915628686381,F,A,200.86979366932974
25,7.472638490272299,NA,NA,M,B,284.5987784347722
27,3.6641234314061624,3.7287446127460946,NA,M,B,283.2723327897632
31,7.2380954955309,NA,5.855421860123518,M,NA,313.9339193235059
47,4.654113224073114,NA,6.810494227142829,F,NA,276.0576067350521
45,4.250055325842784,NA,NA,M,NA,261.7588934035774
18,4.2745516838087045,NA,NA,M,NA,223.12165431882605
45,6.7594046747630365,6.048146919579645,6.686386335469372,F,NA,185.12129093475335
26,1.9975260930416714,4.7646528158118855,NA,F,B,85.92556134746673
39,2.0197814259241444,NA,NA,M,B,217.79071882088024
49,6.054869729949949,3.2474574857409793,NA,M,B,NA
33,7.503408262182055,NA,6.618963788688632,F,A,251.8125378720638
24,9.164945471569746,4.853980076639788,8.279859983974784,F,C,99.84364707526316
26,6.651538711645165,NA,NA,F,B,135.04317511191235
24,6.662885494598788,NA,6.013769338759541,F,A,217.94387873821577
29,7.245317764189673,4.757253150691192,10,F,NA,111.65163062605184
21,3.589481489595121,1.9819709308749855,6.981590071461404,F,NA,131.82958851229773
26,4.657830705944351,3.0097549327147686,NA,M,B,187.44318865235036
28,5.268601920650518,NA,NA,F,B,245.98956195251952
19,4.8918632633004195,NA,NA,M,B,277.5099513388421
26,8.01034315058051,NA,NA,M,A,283.21832844618524
48,7.454275143778389,NA,8.33611302133075,F,NA,231.57425864042597
32,7.958595216819095,NA,5.808373775763624,F,C,218.98386822517682
29,7.412624106553971,NA,7.2425524281264995,F,A,294.71676570809814
16,7.216707101460391,3.986887748146005,5.067045274387605,F,A,226.97525980709923
30,2.001234388030364,NA,5.98905898528627,M,NA,249.6612444648717
26,6.21979951236308,NA,NA,F,B,225.6696104470809
51,1.3576969518461652,NA,NA,F,C,NA
23,5.155640715966768,7.126619454342058,NA,F,B,348.3433122212343
19,5.956482640382303,NA,NA,M,NA,102.7610606715902
42,3.519614163531683,6.211869830254792,NA,M,NA,267.3000490944622
17,7.888955957638062,4.504850079663934,6.7077264988482455,M,A,355.88683441894995
57,5.6477075570284665,5.139474290494195,NA,M,C,NA
27,4.287831570329869,3.5924406865339655,NA,M,B,237.2277679945552
55,6.1042742144933015,5.1765869430518,6.957465566864197,F,A,NA
29,5.898350239095536,NA,5.543247637174366,M,NA,278.576765913769
25,7.461482668047029,NA,7.788281473725764,M,B,212.0818478519209
39,6.93030923226509,4.986923048332366,NA,M,A,288.0286653440036
21,8.123369204225055,NA,5.362448079463494,F,NA,222.8364180753167
33,4.367776115910193,5.034363396237657,NA,F,B,137.0834927867584
17,3.165358678254505,NA,7.160893341088249,M,B,238.90078536660204
20,8.114443008591238,6.58196624283289,10,M,B,339.4666110732287
20,4.201063555003507,10,5.569552411743239,M,C,278.4881484399802
44,5.884310925891598,3.8919911744018556,NA,F,A,355.32978955768294
49,6.562418470203847,4.934326166408702,5.245729803786136,M,NA,NA
34,2.0406799712374357,5.5213231171279595,NA,F,NA,247.09283098400851
32,6.028193014442977,3.5343113781938413,5.897066394589046,M,NA,222.8174043325066
22,3.3500075666563127,5.714971812790417,5.09394850234714,M,C,281.1398619035446
25,3.2681244607292017,NA,6.507506211363012,M,NA,189.69796199530595
51,10,10,6.537092287905284,F,B,NA
49,1.7934386422571786,NA,7.0011324886087465,F,NA,NA
46,3.13568860953655,8.53106061278245,7.009887471685667,F,C,24.48949634471223
26,1.7316707330393206,5.4319586680106955,6.805592133417226,F,NA,338.50643716390755
47,7.290523983284173,NA,6.181001685315573,F,A,126.45828541579635
27,3.2534590412321487,NA,5.374721962207794,F,C,260.99994791737646
45,4.684754412699871,5.699664113040728,5.521871943296069,F,NA,24.051291689460637
45,6.023816415413121,NA,NA,M,NA,154.57615928667806
53,7.369548620269536,NA,9.540976893109104,M,B,NA
21,8.325249880264767,NA,6.022433291835194,M,C,164.99969064307984
50,2.119926664661294,NA,5.729391967324162,F,NA,NA
28,5.143676208517204,NA,NA,F,A,128.5640901530155
30,8.200522549235838,NA,NA,M,A,285.9026350641022
49,7.180485650236051,6.890457563089189,5.958703875379799,F,NA,NA
35,6.059099866067232,NA,6.574176591466371,M,B,185.39124105404912
27,5.8797381043403565,NA,5.430656280827209,M,C,163.55131016745258
50,9.388795677807266,6.684586104192136,NA,M,C,NA
26,7.425196235163775,NA,6.037960675152168,M,NA,318.9801236492335
28,3.833339575301464,4.1906268962151385,NA,F,NA,123.26521915719273
43,4.754606402526983,4.425640517827276,NA,F,NA,201.09679160103389
25,2.7685435424064617,3.217686551455927,NA,M,C,231.5290534576046
37,4.509542461773116,NA,NA,F,B,347.4068546764981
43,4.330405557017841,7.122588429466267,NA,F,A,398.96775680811623
49,2.434673988657284,2.86077667448086,5.3161062327634685,M,NA,NA
15,6.592087584153604,NA,NA,M,B,296.32168595239347
27,6.646912799220319,NA,5.334985819562883,M,NA,174.72181598648228
25,8.577605403331516,NA,5.540427634815055,M,B,349.1744864305618
23,6.9511487368947265,NA,NA,F,C,323.76409201185743
11,5.824050405372774,8.979600755524896,NA,M,B,334.3605867109208
23,8.949874666683113,0,NA,M,A,219.2423854170608
26,3.0977141427638237,5.66158020096725,5.914237523283036,F,B,174.95364370542558
43,6.135904706275602,2.6002196409400313,NA,M,C,258.5705472918746
22,4.116016801067851,NA,NA,M,B,290.8088926155743
47,1.4759398206295713,6.362407941694767,6.062008067202766,M,NA,192.25336640591289
20,1.4763477578676065,6.821716381011126,6.860763643527239,F,C,253.37033280344716
28,4.601387228508537,NA,8.685297982044291,M,NA,130.60815619776292
29,5.949385354543525,3.497439882474697,6.589819111322167,M,NA,300.7743336936363
30,5.719990771177666,7.042974358818055,7.4244534908257345,F,NA,142.31226701707968
29,4.735262945558229,4.305742371254211,NA,F,B,230.86639785890057
23,5.24215688211222,NA,NA,M,A,320.45100845568714
37,4.923612373046101,1.8457347868301803,7.400966070142312,F,B,30.22003016283199
45,3.254188054490771,3.116855296081717,NA,M,NA,194.43159182471902
36,3.4057843111163937,6.689004055391756,8.950306169143367,M,B,113.19016620214077
46,5.6469420504221235,NA,5.995203931395456,F,NA,211.0404160008859
44,8.312116630586635,5.458513853880996,NA,F,NA,240.5584694457626
22,5.1275003022154895,NA,7.5984294388506886,F,A,209.07694424934536
25,9.50597897291531,7.801849157485319,5.0973995848672855,M,B,266.18943753842353
32,3.1122653017432,0.5625377157755658,NA,M,C,197.5467796173337
24,5.686356048641635,2.1545524576009134,6.667492746131767,M,A,185.44809105238252
26,5.3682390787465195,6.212527056811083,6.306056040682812,M,C,112.6487379645263
48,4.520482599930663,5.340999442651955,NA,F,B,233.9440047995954
31,6.703611264475224,NA,NA,F,B,230.33213202256087
47,2.4620774973766806,2.446401950249703,9.62036581039249,F,A,172.58743515920258
25,4.702292116734456,2.7215437140884795,NA,F,A,195.97856020862918
22,5.046877711923592,NA,NA,F,C,151.30430073062533
37,6.72126527055589,NA,6.13085451383165,F,C,217.5028553936669
17,3.401452039458574,4.223264762138015,5.947967013582305,F,NA,228.71685306395875
27,0,NA,6.098007669090611,F,B,212.68643081286555
29,7.144491727901808,2.110547059459817,NA,M,NA,210.07843514793797
38,6.9482772665369765,6.215131305957582,NA,M,B,123.69912268669407
53,7.107711154475224,3.0452577974229933,9.991117982336739,F,A,NA
27,4.5811901723057336,NA,NA,M,A,266.3977089770887
26,0,6.843924700402116,5.625182129578364,F,A,221.53874256115174
35,5.648762755681775,1.429096634306751,NA,F,NA,163.55055042354425
33,8.058461869286674,3.9417375374234513,NA,F,B,306.57162809871164
49,4.0099489212549,7.014152734139422,7.671461989430826,M,NA,NA
44,3.50015889704218,7.352843937881181,7.594785945537446,M,B,165.37012748446554
49,4.923798779291575,7.740504350633402,5.617398145272348,F,NA,NA
27,5.307398359680157,4.692336682988015,5.208945314852104,M,NA,210.93347912040738
47,4.440629591027638,3.6908972565086318,NA,M,NA,228.80718417756657
38,6.477442070009153,8.286952940199729,6.213749179019503,F,NA,119.84033743213767
46,7.481097185297377,1.3015266486641641,7.204597018474919,F,NA,84.00323096503634
23,3.4407558958804634,NA,9.776143406732373,M,B,99.4430637620021
27,5.5300991788973946,NA,5.783798866038859,M,A,246.50426383945435
27,5.1182890527912015,9.55316026826523,7.7943918121873015,F,C,332.9639391649872
29,2.720313234678156,NA,6.48242900409743,F,NA,324.9205545159148
44,7.810483579998715,3.674735196049963,8.423988257792352,M,A,179.10445272667653
37,5.822027666343305,4.684780171974148,5.528686119876705,M,NA,141.26306708566543
42,7.2659866507317465,4.828130447611722,6.13835339012768,M,NA,340.63018936680464
23,3.9132768688490946,6.4505577961826805,NA,M,NA,151.95479914429916
50,4.574576447411523,5.465858193646229,NA,F,A,NA
43,4.5221480133846015,2.4782375645921904,NA,M,NA,72.39089702661978
45,6.177694216811126,NA,NA,F,NA,212.03697342507496
31,5.476545052504133,NA,7.37714743857633,M,A,339.6953155192503
37,7.737171465754743,NA,5.455173581483243,F,B,380.0207509145577
25,4.3530952033146395,4.443876528183596,6.74506030152648,M,NA,193.86945038364158
17,4.588394784142876,5.764801805538919,9.237741964317667,M,B,173.13826896794814
23,3.4197838552402926,2.710905214937317,5.414686016305687,F,C,248.06648199046273
45,4.398279595534829,4.441979674476116,5.787076852126737,F,NA,123.26514911558819
24,4.202384694224417,NA,5.05831660621523,M,A,269.68530803378474
28,8.619408612257605,7.432344818732639,NA,F,B,202.99248912391295
42,2.7686381066810806,NA,6.113635673855924,F,NA,140.31588265383405
17,7.073422860875176,7.883321947869847,NA,M,A,205.12595451510919
29,7.347149166259923,NA,NA,M,B,237.38534891486043
32,3.265098627646071,NA,NA,F,C,305.578074811996
17,3.527272562498132,0,5.777161850594633,M,NA,127.6546594106922
29,4.263612182613259,1.8168330771984285,7.039012045939937,M,NA,161.58855660867653
27,6.2566479208087316,5.635541450603163,7.3160983767571555,F,NA,268.1205837347645
43,4.165597113089529,NA,8.121558775832952,M,C,108.89708177856815
34,2.8079842407061983,5.027872839230687,5.669320363898142,F,NA,214.47988561496078
45,7.297659524167399,NA,NA,F,B,143.53671635895972
40,5.220392428973609,NA,NA,M,A,259.1438402091605
37,2.649530122942106,2.5947907938681505,NA,F,B,165.62459100262944
41,6.6761766941780465,7.017317237725306,NA,M,B,239.1649648964869
52,4.656577516773617,NA,NA,F,C,NA
49,5.290482795604912,4.0854001322406575,5.131475579259824,M,C,NA
31,4.0398141965663905,NA,5.200306476993102,M,B,336.220580696407
44,6.741051277995158,4.454041246892803,NA,M,C,183.67001453557387
21,3.5391826795179098,8.813204989287538,5.317028206583566,F,A,40.71306621211423
18,4.580979880682954,7.474582254470231,8.773182516417972,F,C,194.15409607209136
18,7.131183186049315,NA,NA,F,A,378.46535511735317
24,7.954666496722739,3.5577807426517696,6.112109355174554,F,B,184.78943243488678
46,3.6155276884265892,NA,5.919878150490758,F,NA,215.65448691479529
17,5.674861715488246,4.522598369746196,6.6701581652092425,F,C,247.3221529455988
47,2.3226906598995427,6.24913791851133,NA,M,C,353.8418396982781
51,3.9780283031301478,NA,NA,F,A,NA
32,6.547963921239599,8.135725815162019,6.740802187163995,F,B,306.64403712967106
33,2.4569212185514306,NA,5.913729249394665,M,A,173.0331474471585
41,5.125934946085778,NA,NA,F,B,164.9402225271116
25,5.244405623047449,NA,NA,M,A,220.57144541020358
45,6.250765362560371,8.739376284495172,NA,F,NA,342.44303059773563
28,3.3184697747681797,9.73846097963586,5.745010547819442,M,NA,313.9780375841474
38,3.8715292123501945,5.001947744438474,6.103761625676095,M,C,222.86848516022093
49,7.110294932933256,NA,NA,M,A,NA
49,4.098307564139372,5.488776902553261,NA,F,A,NA
